10248,11,14,12,0
10248,42,9.8,10,0
10248,72,34.8,5,0
10249,14,18.6,9,0
10249,51,42.4,40,0
10250,41,7.7,10,0
10250,51,42.4,35,0.15
10250,65,16.8,15,0.15
10251,22,16.8,6,0.05
10251,57,15.6,15,0.05
10251,65,16.8,20,0
10252,20,64.8,40,0.05
10252,33,2,25,0.05
10252,60,27.2,40,0
10253,31,10,20,0
10253,39,14.4,42,0
10253,49,16,40,0
10254,24,3.6,15,0.15
10254,55,19.2,21,0.15
10254,74,8,21,0
10255,2,15.2,20,0
10255,16,13.9,35,0
10255,36,15.2,25,0
10255,59,44,30,0
10256,53,26.2,15,0
10256,77,10.4,12,0
10257,27,35.1,25,0
10257,39,14.4,6,0
10257,77,10.4,15,0
10258,2,15.2,50,0.2
10258,5,17,65,0.2
10258,32,25.6,6,0.2
10259,21,8,10,0
10259,37,20.8,1,0
10260,41,7.7,16,0.25
10260,57,15.6,50,0
10260,62,39.4,15,0.25
10260,70,12,21,0.25
10261,21,8,20,0
10261,35,14.4,20,0
10262,5,17,12,0.2
10262,7,24,15,0
10262,56,30.4,2,0
10263,16,13.9,60,0.25
10263,24,3.6,28,0
10263,30,20.7,60,0.25
10263,74,8,36,0.25
10264,2,15.2,35,0
10264,41,7.7,25,0.15
10265,17,31.2,30,0
10265,70,12,20,0
10266,12,30.4,12,0.05
10267,40,14.7,50,0
10267,59,44,70,0.15
10267,76,14.4,15,0.15
10268,29,99,10,0
10268,72,27.8,4,0
10269,33,2,60,0.05
10269,72,27.8,20,0.05
10270,36,15.2,30,0
10270,43,36.8,25,0
10271,33,2,24,0
10272,20,64.8,6,0
10272,31,10,40,0
10272,72,27.8,24,0
10273,10,24.8,24,0.05
10273,31,10,15,0.05
10273,33,2,20,0
10273,40,14.7,60,0.05
10273,76,14.4,33,0.05
10274,71,17.2,20,0
10274,72,27.8,7,0
10275,24,3.6,12,0.05
10275,59,44,6,0.05
10276,10,24.8,15,0
10276,13,4.8,10,0
10277,28,36.4,20,0
10277,62,39.4,12,0
10278,44,15.5,16,0
10278,59,44,15,0
10278,63,35.1,8,0
10278,73,12,25,0
10279,17,31.2,15,0.25
10280,24,3.6,12,0
10280,55,19.2,20,0
10280,75,6.2,30,0
10281,19,7.3,1,0
10281,24,3.6,6,0
10281,35,14.4,4,0
10282,30,20.7,6,0
10282,57,15.6,2,0
10283,15,12.4,20,0
10283,19,7.3,18,0
10283,60,27.2,35,0
10283,72,27.8,3,0
10284,27,35.1,15,0.25
10284,44,15.5,21,0
10284,60,27.2,20,0.25
10284,67,11.2,5,0.25
10285,1,14.4,45,0.2
10285,40,14.7,40,0.2
10285,53,26.2,36,0.2
10286,35,14.4,100,0
10286,62,39.4,40,0
10287,16,13.9,40,0.15
10287,34,11.2,20,0
10287,46,9.6,15,0.15
10288,54,5.9,10,0.1
10288,68,10,3,0.1
10289,3,8,30,0
10289,64,26.6,9,0
10290,5,17,20,0
10290,29,99,15,0
10290,49,16,15,0
10290,77,10.4,10,0
10291,13,4.8,20,0.1
10291,44,15.5,24,0.1
10291,51,42.4,2,0.1
10292,20,64.8,20,0
10293,18,50,12,0
10293,24,3.6,10,0
10293,63,35.1,5,0
10293,75,6.2,6,0
10294,1,14.4,18,0
10294,17,31.2,15,0
10294,43,36.8,15,0
10294,60,27.2,21,0
10294,75,6.2,6,0
10295,56,30.4,4,0
10296,11,16.8,12,0
10296,16,13.9,30,0
10296,69,28.8,15,0
10297,39,14.4,60,0
10297,72,27.8,20,0
10298,2,15.2,40,0
10298,36,15.2,40,0.25
10298,59,44,30,0.25
10298,62,39.4,15,0
10299,19,7.3,15,0
10299,70,12,20,0
10300,66,13.6,30,0
10300,68,10,20,0
10301,40,14.7,10,0
10301,56,30.4,20,0
10302,17,31.2,40,0
10302,28,36.4,28,0
10302,43,36.8,12,0
10303,40,14.7,40,0.1
10303,65,16.8,30,0.1
10303,68,10,15,0.1
10304,49,16,30,0
10304,59,44,10,0
10304,71,17.2,2,0
10305,18,50,25,0.1
10305,29,99,25,0.1
10305,39,14.4,30,0.1
10306,30,20.7,10,0
10306,53,26.2,10,0
10306,54,5.9,5,0
10307,62,39.4,10,0
10307,68,10,3,0
10308,69,28.8,1,0
10308,70,12,5,0
10309,4,17.6,20,0
10309,6,20,30,0
10309,42,11.2,2,0
10309,43,36.8,20,0
10309,71,17.2,3,0
10310,16,13.9,10,0
10310,62,39.4,5,0
10311,42,11.2,6,0
10311,69,28.8,7,0
10312,28,36.4,4,0
10312,43,36.8,24,0
10312,53,26.2,20,0
10312,75,6.2,10,0
10313,36,15.2,12,0
10314,32,25.6,40,0.1
10314,58,10.6,30,0.1
10314,62,39.4,25,0.1
10315,34,11.2,14,0
10315,70,12,30,0
10316,41,7.7,10,0
10316,62,39.4,70,0
10317,1,14.4,20,0
10318,41,7.7,20,0
10318,76,14.4,6,0
10319,17,31.2,8,0
10319,28,36.4,14,0
10319,76,14.4,30,0
10320,71,17.2,30,0
10321,35,14.4,10,0
10322,52,5.6,20,0
10323,15,12.4,5,0
10323,25,11.2,4,0
10323,39,14.4,4,0
10324,16,13.9,21,0.15
10324,35,14.4,70,0.15
10324,46,9.6,30,0
10324,59,44,40,0.15
10324,63,35.1,80,0.15
10325,6,20,6,0
10325,13,4.8,12,0
10325,14,18.6,9,0
10325,31,10,4,0
10325,72,27.8,40,0
10326,4,17.6,24,0
10326,57,15.6,16,0
10326,75,6.2,50,0
10327,2,15.2,25,0.2
10327,11,16.8,50,0.2
10327,30,20.7,35,0.2
10327,58,10.6,30,0.2
10328,59,44,9,0
10328,65,16.8,40,0
10328,68,10,10,0
10329,19,7.3,10,0.05
10329,30,20.7,8,0.05
10746,13,6,6,0
10746,42,14,28,0
10746,62,49.3,9,0
10746,69,36,40,0
10747,31,12.5,8,0
10747,41,9.65,35,0
10747,63,43.9,9,0
10747,69,36,30,0
10748,23,9,44,0
10748,40,18.4,40,0
10748,56,38,28,0
10749,56,38,15,0
10749,59,55,6,0
10749,76,18,10,0
10750,14,23.25,5,0.15
10750,45,9.5,40,0.15
10750,59,55,25,0.15
10751,26,31.23,12,0.1
10751,30,25.89,30,0
10751,50,16.25,20,0.1
10751,73,15,15,0
10752,1,18,8,0
10752,69,36,3,0
10753,45,9.5,4,0
10753,74,10,5,0
10754,40,18.4,3,0
10755,47,9.5,30,0.25
10755,56,38,30,0.25
10755,57,19.5,14,0.25
10755,69,36,25,0.25
10756,18,62.5,21,0.2
10756,36,19,20,0.2
10756,68,12.5,6,0.2
10756,69,36,20,0.2
10757,34,14,30,0
10757,59,55,7,0
10757,62,49.3,30,0
10757,64,33.25,24,0
10758,26,31.23,20,0
10758,52,7,60,0
10758,70,15,40,0
10759,32,32,10,0
10760,25,14,12,0.25
10760,27,43.9,40,0
10760,43,46,30,0.25
10761,25,14,35,0.25
10761,75,7.75,18,0
10762,39,18,16,0
10762,47,9.5,30,0
10762,51,53,28,0
10762,56,38,60,0
10763,21,10,40,0
10763,22,21,6,0
10763,24,4.5,20,0
10764,3,10,20,0.1
10764,39,18,130,0.1
10765,65,21.05,80,0.1
10766,2,19,40,0
10766,7,30,35,0
10766,68,12.5,40,0
10767,42,14,2,0
10768,22,21,4,0
10768,31,12.5,50,0
10768,60,34,15,0
10768,71,21.5,12,0
10769,41,9.65,30,0.05
10769,52,7,15,0.05
10769,61,28.5,20,0
10769,62,49.3,15,0
10770,11,21,15,0.25
10771,71,21.5,16,0
10772,29,123.79,18,0
10772,59,55,25,0
10773,17,39,33,0
